player names
PM Sarvesh Kumar
K Goel
RE Levi
HH Pandya
Harbhajan Singh
K Rabada
KV Sharma
BB Samantray
MEK Hussey
Aman Hakim Khan
Mohammad Ashraful
CK Langeveldt
D Pretorius
GD Phillips
DS Lehmann
Shoaib Akhtar
FH Edwards
RG Sharma
Kamran Khan
SR Tendulkar
V Sehwag
MS Gony
JR Hopes
DW Steyn
M de Lange
AB McDonald
AN Ahmed
U Kaul
S Dube
A Zampa
M Ashwin
Z Khan
AA Chavan
SN Khan
CJ Ferguson
PV Tambe
Swapnil Singh
TK Curran
GJ Maxwell
DJG Sammy
AM Nayar
SM Katich
OA Shah
MA Wood
S Tyagi
S Sriram
KC Cariappa
SD Lad
D Salunkhe
GB Hogg
JPR Scantlebury-Searles
A Tomar
OC McCoy
DM Bravo
B Sumanth
T Taibu
VH Zol
VRV Singh
S Sohal
KC Sangakkara
R Dhawan
Iqbal Abdulla
I Malhotra
Y Nagar
PC Valthaty
TG Southee
RK Singh
Mandeep Singh
DAJ Bracewell
KL Nagarkoti
PP Ojha
R Sanjay Yadav
AD Hales
AB Barath
AB de Villiers
SP Goswami
JP Duminy
B Chipli
NM Coulter-Nile
Arshdeep Singh
Sachin Baby
L Balaji
BB McCullum
GHS Garton
RV Gomez
Kartik Tyagi
Lalit Yadav
JJ Roy
AT Carey
DL Chahar
MM Patel
Harshit Rana
M Jansen
B Lee
AU Rashid
AA Bilakhia
Umran Malik
DJ Bravo
J Suchith
AF Milne
P Parameswaran
M Manhas
AK Markram
GD McGrath
SPD Smith
H Das
JC Archer
R Shukla
RR Powar
S Anirudha
AN Ghosh
P Chopra
CJ Anderson
S Nadeem
BB Sran
CA Pujara
KM Jadhav
Shashank Singh
MK Pandey
AR Patel
JP Behrendorff
AUK Pathan
R Sai Kishore
CA Lynn
IK Pathan
PH Solanki
AT Rayudu
RG More
MS Dhoni
DP Nannes
MR Marsh
IR Jaggi
S Kaushik
DJ Thornely
MM Ali
C Sakariya
A Dananjaya
NV Ojha
Ankit Soni
SP Jackson
A Flintoff
RD Gaikwad
