"season_id";"team_name";"NRR"
11;"Sunrisers Hyderabad";0.284
11;"Rising Pune Supergiants";0.0
11;"Gujarat Lions";0.0
11;"Pune Warriors";0.0
11;"Deccan Chargers";0.0
11;"Kochi Tuskers Kerala";0.0
11;"Gujarat Titans";0.0
11;"Lucknow Super Giants";0.0
12;"Chennai Super Kings";0.131
12;"Delhi Capitals";0.044
12;"Punjab Kings";-0.251
12;"Kolkata Knight Riders";0.028
12;"Mumbai Indians";0.421
12;"Rajasthan Royals";-0.449
12;"Royal Challengers Bangalore";-0.607
12;"Sunrisers Hyderabad";0.577
12;"Rising Pune Supergiants";0.0
12;"Gujarat Lions";0.0
12;"Pune Warriors";0.0
12;"Deccan Chargers";0.0
12;"Kochi Tuskers Kerala";0.0
12;"Gujarat Titans";0.0
12;"Lucknow Super Giants";0.0
13;"Chennai Super Kings";-0.455
13;"Delhi Capitals";-0.109
13;"Punjab Kings";-0.162
13;"Kolkata Knight Riders";-0.214
13;"Mumbai Indians";1.107
13;"Rajasthan Royals";-0.569
13;"Royal Challengers Bangalore";-0.172
13;"Sunrisers Hyderabad";0.608
13;"Rising Pune Supergiants";0.0
13;"Gujarat Lions";0.0
13;"Pune Warriors";0.0
13;"Deccan Chargers";0.0
13;"Kochi Tuskers Kerala";0.0
13;"Gujarat Titans";0.0
13;"Lucknow Super Giants";0.0
14;"Chennai Super Kings";0.455
14;"Delhi Capitals";0.481
14;"Punjab Kings";-0.001
14;"Kolkata Knight Riders";0.587
14;"Mumbai Indians";0.116
14;"Rajasthan Royals";-0.993
14;"Royal Challengers Bangalore";-0.14
14;"Sunrisers Hyderabad";-0.545
14;"Rising Pune Supergiants";0.0
14;"Gujarat Lions";0.0
14;"Pune Warriors";0.0
14;"Deccan Chargers";0.0
14;"Kochi Tuskers Kerala";0.0
14;"Gujarat Titans";0.0
14;"Lucknow Super Giants";0.0
15;"Chennai Super Kings";-0.203
15;"Delhi Capitals";0.204
15;"Punjab Kings";0.126
15;"Kolkata Knight Riders";0.146
15;"Mumbai Indians";-0.506
15;"Rajasthan Royals";0.298
15;"Royal Challengers Bangalore";-0.253
15;"Sunrisers Hyderabad";-0.379
15;"Rising Pune Supergiants";0.0
15;"Gujarat Lions";0.0
15;"Pune Warriors";0.0
15;"Deccan Chargers";0.0
15;"Kochi Tuskers Kerala";0.0
15;"Gujarat Titans";0.316
15;"Lucknow Super Giants";0.251
